ID,文字列,フォント,サイズ,太さ
TitleLogo,SPACE REFLECT,Abel,100,10
TitleItemStart,START,Abel,20,3
TitleItemOption,OPTION,Abel,20,3
TitleItemExit,EXIT,Abel,20,3
TitleItemSelectBarRight,[,Abel,20,3
TitleItemSelectBarLeft,],Abel,20,3
OptionTitle,OPTION,Abel,50,5
OptionItemLanguage,LANGUAGE,Abel,20,3
OptionItemWindowMode,WINDOW MODE,Abel,20,3
OptionItemMasterVolume,MASTER,Abel,20,3
OptionItemBgmVolume,BGM,Abel,20,3
OptionItemPadSetting,CONTROLLER,Abel,20,3
OptionItemWindowModeOn,FULL SCREEN,Abel,20,3
OptionItemWindowModeOff,WINDOW,Abel,20,3
OptionItemSeVolume,SE,Abel,20,3
OptionItemBack,BACK,Abel,20,3
PadSettingTitle,PAD CONFIG,Abel,50,5
PadSettingItemSensX,横感度,Abel,20,3
PadSettingItemSensY,縦感度,Abel,20,3
PadSettingItemReverseX,横リバース,Abel,20,3
PadSettingItemReverseY,縦リバース,Abel,20,3
PadSettingItemReverseOn,ON,Abel,20,3
PadSettingItemReverseOff,OFF,Abel,20,3
PadSettingNumber,-,Abel,20,3
PadSettingItemBack,BACK,Abel,20,3
PauseTitle,PAUSE,Abel,75,10
PauseItemContinue,CONTINUE,Abel,20,3
PauseItemOption,OPTION,Abel,20,3
PauseItemTitle,TITLE,Abel,20,3
PausetemSelectBarRight,[,Abel,20,3
PausetemSelectBarLeft,],Abel,20,3
WarningUI,WARNING!!,Abel,100,10
BossMatrixName,MATRIX,Abel,40,10
